x,y
22.27,35.44
22.27,35.44
22.27,35.44
22.27,35.44
22.27,35.44
22.27,35.44
22.27,35.44
22.27,35.44
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
11.56,37.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
2.9,59.47
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
29.36,64.11
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
17.36,58.33
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
20.48,36.16
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
43.01,48.92
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
29.51,42.4
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
23.89,65.33
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
43.07,61.84
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
26.62,53.12
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
12.59,31.43
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
26.71,54.89
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.01,51.86
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
14.29,61.04
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
28.37,40.75
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
17.54,29.27
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
16.9,47.92
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
36.54,31.42
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
15.64,55.04
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
36.07,59.67
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
13.52,31.32
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
32.5,46.68
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
19.06,45.84
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
15.86,30.34
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
39.45,82.35
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
30.98,47.08
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
19.09,62.0
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
10.68,52.49
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
21.82,44.37
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
45.13,51.47
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
24.64,53.06
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
27.78,13.7
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
34.2,68.54
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
25.44,42.84
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
28.52,52.15
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
31.2,41.27
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
21.82,54.1
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
1.49,37.02
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
24.68,53.75
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
6.48,41.07
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
28.7,45.69
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
14.43,42.76
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
38.44,88.72
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
17.96,50.53
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
27.24,54.37
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
30.2,60.6
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
31.16,47.44
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
52.68,23.33
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
38.88,29.47
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
33.25,64.58
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
42.91,21.05
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
18.2,50.26
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
20.22,58.29
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
23.35,46.22
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
22.57,68.9
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
33.61,24.56
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
4.93,39.61
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
37.56,52.89
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
21.63,39.03
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
24.92,37.73
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.34,63.31
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
16.28,64.33
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
34.38,39.55
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
21.2,41.99
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
13.77,21.81
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
16.69,36.68
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
30.48,31.74
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
11.34,39.31
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
27.73,68.14
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
29.96,42.96
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
20.82,16.31
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
31.94,39.82
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
18.01,31.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
38.57,39.54
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
24.06,57.9
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
38.24,55.22
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
21.93,47.62
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
29.6,39.24
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
43.38,37.49
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
10.11,48.6
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
37.26,43.75
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
12.79,45.7
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
5.39,19.55
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
35.44,55.87
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
23.05,31.58
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
20.65,39.37
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
26.43,55.03
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
46.17,40.54
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
31.84,43.23
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
12.23,50.41
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
11.88,46.21
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
14.17,23.99
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
40.49,64.49
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
16.83,34.37
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
19.73,35.9
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.72,5.68
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
26.7,44.47
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
31.97,56.0
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
23.03,61.11
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
24.75,40.8
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
23.5,29.95
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
13.76,27.13
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
7.44,26.5
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
44.97,72.67
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
27.13,50.94
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
22.66,64.2
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
45.14,66.55
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
27.51,50.19
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
33.44,52.11
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
27.81,51.13
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
41.23,45.43
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
29.15,42.52
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
27.18,64.39
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
30.48,62.22
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
36.17,27.43
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
15.54,60.2
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
26.99,55.97
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
20.19,33.66
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
47.79,42.36
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
35.08,76.66
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
14.45,49.05
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
41.9,28.81
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
15.84,23.12
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
34.41,69.42
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
18.73,64.44
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
51.1,50.62
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
28.75,54.67
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
33.79,37.49
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
18.54,40.98
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
37.46,55.63
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
9.54,62.55
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
26.73,43.95
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
22.58,37.11
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
27.0,45.47
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
21.74,63.0
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
28.55,39.86
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
41.42,49.35
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
10.1,38.88
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
23.68,51.17
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
22.29,52.33
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
18.41,23.49
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
33.92,68.23
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
9.7,37.91
